account_id,exception_type,actual_label,actual_class,predicted_label,predicted_class,ensemble_probability,graphsage_probability,lightgbm_probability,margin_of_error,total_volume_inr,transaction_count,avg_transaction_amount_inr,max_transaction_amount_inr,in_degree,out_degree,clustering_coefficient,pagerank,community_id
ACCT_014833,False Positive (FP),0,Legitimate,1,Mule Account,0.9997,0.6477,0.9997,0.9997,10649006.53,675,15776.31,0.0,0,62,0.0,4e-06,125
ACCT_066452,False Positive (FP),0,Legitimate,1,Mule Account,0.9996,0.7155,0.9996,0.9996,94511830.78,3126,30234.11,0.0,0,47,0.0,4e-06,365
ACCT_047175,False Negative (FN),1,Mule Account,0,Legitimate,0.0005,0.1027,0.0005,0.9995,61447969.49,2301,26704.9,0.0,0,6,0.0,4e-06,203
ACCT_064606,False Positive (FP),0,Legitimate,1,Mule Account,0.9995,0.6959,0.9995,0.9995,316579363.42,2847,111197.53,0.0,0,56,0.0,4e-06,256
ACCT_010203,False Positive (FP),0,Legitimate,1,Mule Account,0.9994,0.6547,0.9994,0.9994,32187969.71,1353,23790.07,0.0,0,61,0.0,4e-06,224
ACCT_002185,False Negative (FN),1,Mule Account,0,Legitimate,0.0006,0.1048,0.0006,0.9994,87020439.39,3366,25852.77,0.0,0,18,0.0,4e-06,218
ACCT_081612,False Negative (FN),1,Mule Account,0,Legitimate,0.0006,0.1451,0.0006,0.9994,77022899.87,3434,22429.5,0.0,0,24,0.0,4e-06,265
ACCT_008358,False Positive (FP),0,Legitimate,1,Mule Account,0.9994,0.6755,0.9994,0.9994,64383252.41,1930,33359.2,0.0,0,80,0.0,4e-06,122
ACCT_039792,False Negative (FN),1,Mule Account,0,Legitimate,0.0006,0.1423,0.0006,0.9994,21976046.64,611,35967.34,0.0,0,24,0.0,4e-06,68
ACCT_044228,False Negative (FN),1,Mule Account,0,Legitimate,0.0006,0.1722,0.0006,0.9994,43191447.05,1334,32377.4,0.0,0,28,0.0,4e-06,350
ACCT_036054,False Negative (FN),1,Mule Account,0,Legitimate,0.0007,0.1366,0.0007,0.9993,73440547.05,3154,23284.89,0.0,0,17,0.0,4e-06,346
ACCT_069638,False Negative (FN),1,Mule Account,0,Legitimate,0.0007,0.1671,0.0007,0.9993,19452019.66,748,26005.37,0.0,0,28,0.0,4e-06,34
ACCT_013160,False Positive (FP),0,Legitimate,1,Mule Account,0.9993,0.6638,0.9993,0.9993,39694973.08,1384,28681.34,0.0,0,42,0.0,4e-06,150
ACCT_071679,False Positive (FP),0,Legitimate,1,Mule Account,0.9993,0.3428,0.9993,0.9993,352702561.67,10549,33434.69,0.0,0,31,0.0,4e-06,44
ACCT_023441,False Positive (FP),0,Legitimate,1,Mule Account,0.9993,0.6844,0.9993,0.9993,25365061.72,1164,21791.29,0.0,0,48,0.0,4e-06,295
ACCT_079935,False Positive (FP),0,Legitimate,1,Mule Account,0.9993,0.4421,0.9993,0.9993,98113394.55,3805,25785.39,0.0,0,35,0.0,4e-06,13
ACCT_008065,False Negative (FN),1,Mule Account,0,Legitimate,0.0007,0.1447,0.0007,0.9993,26773078.26,1108,24163.43,0.0,0,15,0.0,4e-06,236
ACCT_079459,False Negative (FN),1,Mule Account,0,Legitimate,0.0008,0.1386,0.0008,0.9992,34393003.19,1834,18753.0,0.0,0,20,0.0,4e-06,19
ACCT_095225,False Positive (FP),0,Legitimate,1,Mule Account,0.9991,0.6922,0.9991,0.9991,8449158.04,577,14643.25,0.0,0,67,0.0,4e-06,371
ACCT_001023,False Negative (FN),1,Mule Account,0,Legitimate,0.0009,0.1117,0.0009,0.9991,34266754.62,1412,24268.24,0.0,0,5,0.0,4e-06,36
ACCT_079720,False Negative (FN),1,Mule Account,0,Legitimate,0.001,0.1489,0.001,0.999,64989481.44,3071,21162.32,0.0,0,28,0.0,4e-06,143
ACCT_040420,False Negative (FN),1,Mule Account,0,Legitimate,0.001,0.2509,0.001,0.999,12538757.15,555,22592.36,0.0,0,28,0.0,4e-06,254
ACCT_001273,False Negative (FN),1,Mule Account,0,Legitimate,0.0011,0.1695,0.0011,0.9989,5020482.84,338,14853.5,0.0,0,11,0.0,4e-06,17
ACCT_023700,False Negative (FN),1,Mule Account,0,Legitimate,0.0011,0.1302,0.0011,0.9989,12706551.26,423,30039.13,0.0,0,15,0.0,4e-06,211
ACCT_037319,False Positive (FP),0,Legitimate,1,Mule Account,0.9988,0.6789,0.9988,0.9988,40984398.9,1564,26204.86,0.0,0,51,0.0,4e-06,143
ACCT_032865,False Positive (FP),0,Legitimate,1,Mule Account,0.9987,0.692,0.9987,0.9987,105116238.92,4306,24411.57,0.0,0,45,0.0,4e-06,188
ACCT_061367,False Negative (FN),1,Mule Account,0,Legitimate,0.0013,0.2007,0.0013,0.9987,50952136.94,2642,19285.44,0.0,0,30,0.0,4e-06,281
ACCT_009139,False Negative (FN),1,Mule Account,0,Legitimate,0.0014,0.1697,0.0014,0.9986,25909026.14,725,35736.59,0.0,0,19,0.0,4e-06,306
ACCT_095696,False Negative (FN),1,Mule Account,0,Legitimate,0.0015,0.1377,0.0015,0.9985,73044633.29,3166,23071.58,0.0,0,25,0.0,4e-06,252
ACCT_018044,False Negative (FN),1,Mule Account,0,Legitimate,0.0015,0.1912,0.0015,0.9985,4308952.94,266,16199.07,0.0,0,28,0.0,4e-06,141
ACCT_059628,False Negative (FN),1,Mule Account,0,Legitimate,0.0015,0.1543,0.0015,0.9985,20709178.92,639,32408.73,0.0,0,18,0.0,4e-06,24
ACCT_027424,False Positive (FP),0,Legitimate,1,Mule Account,0.9984,0.6678,0.9984,0.9984,57038723.98,1268,44983.22,0.0,0,104,0.0,4e-06,45
ACCT_071733,False Negative (FN),1,Mule Account,0,Legitimate,0.0017,0.1994,0.0017,0.9983,25691495.14,1314,19552.13,0.0,0,27,0.0,4e-06,292
ACCT_043800,False Negative (FN),1,Mule Account,0,Legitimate,0.0018,0.1085,0.0018,0.9982,72489941.79,3259,22243.0,0.0,0,16,0.0,4e-06,39
ACCT_043160,False Negative (FN),1,Mule Account,0,Legitimate,0.0018,0.1306,0.0018,0.9982,11722290.43,805,14561.85,0.0,0,14,0.0,4e-06,27
ACCT_002507,False Positive (FP),0,Legitimate,1,Mule Account,0.9982,0.2639,0.9982,0.9982,74754768.86,1264,59141.43,0.0,0,31,0.0,4e-06,133
ACCT_072840,False Negative (FN),1,Mule Account,0,Legitimate,0.0018,0.1717,0.0018,0.9982,14782815.54,479,30861.83,0.0,0,11,0.0,4e-06,103
ACCT_009239,False Negative (FN),1,Mule Account,0,Legitimate,0.0019,0.1603,0.0019,0.9981,79346889.65,3244,24459.58,0.0,0,30,0.0,4e-06,329
ACCT_066011,False Positive (FP),0,Legitimate,1,Mule Account,0.998,0.6703,0.998,0.998,31156948.83,1476,21109.04,0.0,0,51,0.0,4e-06,409
ACCT_030176,False Negative (FN),1,Mule Account,0,Legitimate,0.002,0.172,0.002,0.998,20962273.67,1006,20837.25,0.0,0,30,0.0,4e-06,185
ACCT_019664,False Negative (FN),1,Mule Account,0,Legitimate,0.0022,0.1324,0.0022,0.9978,84271955.88,3731,22586.96,0.0,0,21,0.0,4e-06,309
ACCT_007572,False Negative (FN),1,Mule Account,0,Legitimate,0.0022,0.2121,0.0022,0.9978,79611748.7,821,96969.24,0.0,0,14,0.0,4e-06,67
ACCT_039306,False Negative (FN),1,Mule Account,0,Legitimate,0.0022,0.1183,0.0022,0.9978,234701692.62,2049,114544.51,0.0,0,14,0.0,4e-06,255
ACCT_058075,False Negative (FN),1,Mule Account,0,Legitimate,0.0024,0.1482,0.0024,0.9976,46527606.78,2428,19162.94,0.0,0,26,0.0,4e-06,292
ACCT_069861,False Positive (FP),0,Legitimate,1,Mule Account,0.9975,0.6691,0.9975,0.9975,12044975.38,723,16659.72,0.0,0,56,0.0,4e-06,164
ACCT_000559,False Negative (FN),1,Mule Account,0,Legitimate,0.0027,0.1294,0.0027,0.9973,22111954.45,1029,21488.78,0.0,0,16,0.0,4e-06,206
ACCT_048802,False Negative (FN),1,Mule Account,0,Legitimate,0.0027,0.1097,0.0027,0.9973,93727100.22,3132,29925.64,0.0,0,11,0.0,4e-06,170
ACCT_048601,False Negative (FN),1,Mule Account,0,Legitimate,0.0027,0.1899,0.0027,0.9973,67943333.0,1323,51355.5,0.0,0,23,0.0,4e-06,324
ACCT_031084,False Negative (FN),1,Mule Account,0,Legitimate,0.0035,0.1434,0.0035,0.9965,68140873.5,2155,31619.89,0.0,0,21,0.0,4e-06,150
ACCT_099189,False Negative (FN),1,Mule Account,0,Legitimate,0.0037,0.2989,0.0037,0.9963,6054990.63,314,19283.41,0.0,0,19,0.0,4e-06,354
ACCT_092343,False Positive (FP),0,Legitimate,1,Mule Account,0.9962,0.7076,0.9962,0.9962,80198034.04,2838,28258.64,0.0,0,47,0.0,4e-06,127
ACCT_101499,False Negative (FN),1,Mule Account,0,Legitimate,0.0039,0.1186,0.0039,0.9961,36632262.93,1843,19876.43,0.0,0,11,0.0,4e-06,223
ACCT_100748,False Negative (FN),1,Mule Account,0,Legitimate,0.004,0.2916,0.004,0.996,36906027.49,1534,24058.69,0.0,0,26,0.0,4e-06,45
ACCT_078061,False Positive (FP),0,Legitimate,1,Mule Account,0.9957,0.6162,0.9957,0.9957,34977868.16,874,40020.44,0.0,0,35,0.0,4e-06,327
ACCT_079761,False Negative (FN),1,Mule Account,0,Legitimate,0.0049,0.1735,0.0049,0.9951,17987125.6,832,21619.14,0.0,0,29,0.0,4e-06,360
ACCT_022274,False Negative (FN),1,Mule Account,0,Legitimate,0.0051,0.157,0.0051,0.9949,24031484.38,761,31578.82,0.0,0,26,0.0,4e-06,62
ACCT_066515,False Negative (FN),1,Mule Account,0,Legitimate,0.0054,0.2675,0.0054,0.9946,6735888.73,308,21869.77,0.0,0,7,0.0,4e-06,207
ACCT_033398,False Positive (FP),0,Legitimate,1,Mule Account,0.9945,0.6983,0.9945,0.9945,72107927.83,2259,31920.29,0.0,0,41,0.0,4e-06,195
ACCT_041577,False Negative (FN),1,Mule Account,0,Legitimate,0.0056,0.1732,0.0056,0.9944,52090276.18,2021,25774.51,0.0,0,29,0.0,4e-06,77
ACCT_073165,False Negative (FN),1,Mule Account,0,Legitimate,0.0058,0.1692,0.0058,0.9942,39463440.38,1325,29783.73,0.0,0,23,0.0,4e-06,28
ACCT_019965,False Negative (FN),1,Mule Account,0,Legitimate,0.0059,0.3061,0.0059,0.9941,105556531.24,4317,24451.36,0.0,0,30,0.0,4e-06,25
ACCT_028412,False Negative (FN),1,Mule Account,0,Legitimate,0.006,0.1852,0.006,0.994,18984551.87,902,21047.18,0.0,0,22,0.0,4e-06,338
ACCT_016690,False Negative (FN),1,Mule Account,0,Legitimate,0.006,0.1522,0.006,0.994,39908999.34,849,47007.07,0.0,0,23,0.0,4e-06,133
ACCT_087996,False Negative (FN),1,Mule Account,0,Legitimate,0.0062,0.1371,0.0062,0.9938,11273881.39,461,24455.27,0.0,0,25,0.0,4e-06,47
ACCT_084334,False Negative (FN),1,Mule Account,0,Legitimate,0.0065,0.1789,0.0065,0.9935,27522028.58,1411,19505.34,0.0,0,27,0.0,4e-06,14
ACCT_097383,False Positive (FP),0,Legitimate,1,Mule Account,0.9934,0.6699,0.9934,0.9934,31273004.48,1069,29254.45,0.0,0,53,0.0,4e-06,60
ACCT_009652,False Negative (FN),1,Mule Account,0,Legitimate,0.0069,0.2302,0.0069,0.9931,1183086.25,85,13918.66,0.0,0,16,0.0,4e-06,39
ACCT_011179,False Negative (FN),1,Mule Account,0,Legitimate,0.007,0.352,0.007,0.993,137720824.51,1024,134492.99,0.0,0,26,0.0,4e-06,56
ACCT_023653,False Negative (FN),1,Mule Account,0,Legitimate,0.0076,0.1878,0.0076,0.9924,14041068.6,715,19637.86,0.0,0,13,0.0,4e-06,225
ACCT_016597,False Negative (FN),1,Mule Account,0,Legitimate,0.0077,0.1231,0.0077,0.9923,53048971.53,1892,28038.57,0.0,0,12,0.0,4e-06,37
ACCT_022198,False Negative (FN),1,Mule Account,0,Legitimate,0.0084,0.1817,0.0084,0.9916,16680347.43,863,19328.33,0.0,0,26,0.0,4e-06,315
ACCT_041653,False Negative (FN),1,Mule Account,0,Legitimate,0.0086,0.1822,0.0086,0.9914,78861119.15,2340,33701.33,0.0,0,22,0.0,4e-06,238
ACCT_073867,False Positive (FP),0,Legitimate,1,Mule Account,0.9907,0.6475,0.9907,0.9907,80271917.9,3454,23240.28,0.0,0,72,0.0,4e-06,42
ACCT_095651,False Positive (FP),0,Legitimate,1,Mule Account,0.99,0.6808,0.99,0.99,166946884.86,1157,144292.9,0.0,0,44,0.0,4e-06,411
ACCT_012759,False Negative (FN),1,Mule Account,0,Legitimate,0.0111,0.2564,0.0111,0.9889,3327647.92,193,17241.7,0.0,0,5,0.0,4e-06,58
ACCT_034584,False Positive (FP),0,Legitimate,1,Mule Account,0.9886,0.52,0.9886,0.9886,58593697.28,2728,21478.63,0.0,0,34,0.0,4e-06,129
ACCT_063580,False Negative (FN),1,Mule Account,0,Legitimate,0.0126,0.1722,0.0126,0.9874,38243696.72,1914,19981.03,0.0,0,24,0.0,4e-06,2
ACCT_058696,False Negative (FN),1,Mule Account,0,Legitimate,0.0151,0.1956,0.0151,0.9849,115245.02,61,1889.26,0.0,0,12,0.0,4e-06,39
ACCT_043699,False Negative (FN),1,Mule Account,0,Legitimate,0.0187,0.2105,0.0187,0.9813,366713223.6,2214,165633.8,0.0,0,21,0.0,4e-06,138
ACCT_078817,False Negative (FN),1,Mule Account,0,Legitimate,0.0194,0.1378,0.0194,0.9806,17150482.58,798,21491.83,0.0,0,17,0.0,4e-06,97
ACCT_001978,False Negative (FN),1,Mule Account,0,Legitimate,0.0213,0.1161,0.0213,0.9787,804737.71,88,9144.75,0.0,0,14,0.0,4e-06,0
ACCT_072283,False Negative (FN),1,Mule Account,0,Legitimate,0.0222,0.1419,0.0222,0.9778,53695801.11,2229,24089.64,0.0,0,25,0.0,4e-06,114
ACCT_028712,False Negative (FN),1,Mule Account,0,Legitimate,0.0226,0.2394,0.0226,0.9774,47582207.62,2048,23233.5,0.0,0,23,0.0,4e-06,24
ACCT_058639,False Negative (FN),1,Mule Account,0,Legitimate,0.0322,0.1985,0.0322,0.9678,1267601.78,104,12188.48,0.0,0,5,0.0,4e-06,39
ACCT_084686,False Negative (FN),1,Mule Account,0,Legitimate,0.0383,0.1657,0.0383,0.9617,58208078.77,2716,21431.55,0.0,0,21,0.0,4e-06,82
ACCT_018178,False Positive (FP),0,Legitimate,1,Mule Account,0.9593,0.4257,0.9593,0.9593,43847276.34,729,60147.16,0.0,0,34,0.0,4e-06,84
ACCT_008069,False Negative (FN),1,Mule Account,0,Legitimate,0.0414,0.2898,0.0414,0.9586,7472020.71,299,24990.04,0.0,0,17,0.0,4e-06,320
ACCT_096956,False Negative (FN),1,Mule Account,0,Legitimate,0.054,0.3629,0.054,0.946,15508831.63,600,25848.05,0.0,0,21,0.0,4e-06,299
ACCT_056907,False Negative (FN),1,Mule Account,0,Legitimate,0.0614,0.2289,0.0614,0.9386,205667031.02,8237,24968.68,0.0,0,27,0.0,4e-06,162
ACCT_060770,False Negative (FN),1,Mule Account,0,Legitimate,0.0634,0.226,0.0634,0.9366,2626839.29,176,14925.22,0.0,0,23,0.0,4e-06,386
ACCT_044945,False Negative (FN),1,Mule Account,0,Legitimate,0.0698,0.2034,0.0698,0.9302,4796898.15,171,28052.04,0.0,0,19,0.0,4e-06,200
ACCT_074515,False Negative (FN),1,Mule Account,0,Legitimate,0.1124,0.2111,0.1124,0.8876,402565.29,33,12198.95,0.0,0,6,0.0,4e-06,0
ACCT_024981,False Negative (FN),1,Mule Account,0,Legitimate,0.1599,0.5082,0.1599,0.8401,208906622.2,1978,105615.08,0.0,0,24,0.0,4e-06,321
ACCT_047845,False Positive (FP),0,Legitimate,1,Mule Account,0.8255,0.3461,0.8255,0.8255,10172301.23,105,96879.06,0.0,0,11,0.0,4e-06,277
ACCT_055706,False Negative (FN),1,Mule Account,0,Legitimate,0.1877,0.6593,0.1877,0.8123,12883261.04,850,15156.78,0.0,0,43,0.0,4e-06,45
ACCT_089526,False Positive (FP),0,Legitimate,1,Mule Account,0.793,0.3344,0.793,0.793,2356448.68,185,12737.56,0.0,0,21,0.0,4e-06,335
ACCT_084041,False Negative (FN),1,Mule Account,0,Legitimate,0.2304,0.6431,0.2304,0.7696,421525703.37,2989,141025.66,0.0,0,24,0.0,4e-06,192
ACCT_046341,False Negative (FN),1,Mule Account,0,Legitimate,0.2643,0.2395,0.2643,0.7357,150093630.59,1129,132943.87,0.0,0,22,0.0,4e-06,70
ACCT_045326,False Negative (FN),1,Mule Account,0,Legitimate,0.2946,0.2568,0.2946,0.7054,349791552.01,3658,95623.72,0.0,0,24,0.0,4e-06,251
ACCT_075822,False Positive (FP),0,Legitimate,1,Mule Account,0.6558,0.2601,0.6558,0.6558,899029.34,58,15500.51,0.0,0,8,0.0,4e-06,0
ACCT_065445,False Positive (FP),0,Legitimate,1,Mule Account,0.6121,0.2352,0.6121,0.6121,1083232.21,219,4946.27,0.0,0,22,0.0,4e-06,402
ACCT_090946,False Negative (FN),1,Mule Account,0,Legitimate,0.4695,0.2801,0.4695,0.5305,1385735.88,115,12049.88,0.0,0,9,0.0,4e-06,0
ACCT_091224,False Positive (FP),0,Legitimate,1,Mule Account,0.515,0.1865,0.515,0.515,173548799.5,1203,144263.34,0.0,0,25,0.0,4e-06,106
ACCT_084914,False Positive (FP),0,Legitimate,1,Mule Account,0.5084,0.1319,0.5084,0.5084,2257980.65,192,11760.32,0.0,0,21,0.0,4e-06,178
